Camp Nou,Barcelona,1957,99354
Santiago Bernabeu,Real Madrid,1947,81044
Metropolitano,At. Madrid,2017,67703
Benito Villamari­n,Betis,1929,60721
La Cartuja,,1997,60000
Olimpico Lluis Companys,,1927,55926
Mestalla,Valencia,1923,55000
San Mames,Ath. Bilbao,2013,53289
Ramon Sanchez Pizjuan,Sevilla,1958,43883
Anoeta,Real Sociedad,1993,42000
RCDE Stadium,Espanyol,2009,40500
Manuel Marti­nez Valero,Elche,1976,33732
La Romareda,Zaragoza,1957,33608
Riazor,Dptivo. Coruna,1944,32911
Gran Canaria,Univ. Las Palmas,2003,32392
Nueva Condomina,Murcia,2006,31179
Balaidos,Celta,1928,31100
Carlos Tartiere,Oviedo,2000,30500
La Rosaleda,Malaga (C.D.),1941,30044
El Molinon,Sporting Gijon,1908,30000
Jose Rico Perez,Hercules,1974,29500
Jose Zorrilla,Valladolid,1982,26512
Ciudad de Valencia,Levante,1969,25354
Ramon de Carranza,Cadiz,1957,25033
Son Moix,Mallorca,1999,24262
Estadio de la Ceramica,Villarreal,1923,23500
Heliodoro Rodri­guez Lopez,Tenerife CD,1925,23000
Nuevo Los Carmenes,Granada,1995,22369
El Sardinero,Rac. Santander,1988,22222
Nuevo Arcangel,Cordoba,1993,21822
Nuevo Colombino,Rec. Huelva,2001,21670
Chapin,Xerez/Xerez FC,1988,20486
Mendizorroza,Alaves,1924,19840
El Sadar,Osasuna,1967,19800
Balear,Baleares CD,1960,18000
Carlos Belmonte,Albacete,1960,18000
Helmantico,,1970,17341
Coliseum Alfonso Perez,Getafe,1998,17000
Las Gaunas,Logrones,2002,16000
Nuevo Vivero,Badajoz,1998,15598
Castalia,Castellon,1987,15500
Mini Estadi,Barcelona B,1982,15276
Cartagonova,Cartagena,1988,15105
Juegos Mediterraneos,Almeria,2004,15000
Estadio de Vallecas,Rayo Vallecano,1976,14708
Romano,Merida,1953,14537
Nou Estadi de Tarragona,Gimn. Tarragona,1971,14500
El Soto,,1974,14000
Camp d'Esports,Lleida,1919,13500
Reino de Leon,Cult. Leonesa,2001,13451
Municipal de Montilivi,Girona,1970,13400
Juan Rojas,,1976,13000
San Lazaro,Compostela,1993,13000
La Victoria,Jaen,2001,12600
Butarque,Leganes,1998,12450
El Planti­o,Burgos CF,1964,12200
A Malata,Ferrol,1993,12043
Pasaron,Pontevedra,1956,12000
Municipal,,1969,12000
Nova Creu Alta,Sabadell,1967,11981
Francisco de la Hera,Extremadura,1951,11580
Oli­mpic de Terrassa,Terrassa,1960,11500
Ciudad de Tudela,,1969,11000
Ciudad de Malaga,,2006,10816
Alvarez Claro,,1945,10000
Linarejos,Linares,1956,10000
Nou Camp de Inca,,1964,10000
Municipal de Vilatenim,Figueres,1986,9472
Nuevo Los Pajaritos,Numancia,1999,9025
La Murta,,1920,9000
Guillermo Amor,,1964,9000
Antonio Peroles,,2005,9000
Jose del Cuvillo,Portuense,1972,8600
El Torali­n,Ponferradina,2000,8200
Ipurua,eibar,1947,8127
Francisco Artes Carrasco,Lorca,2003,8120
Luis Suiñer,Palencia,1973,8100
Nueva Balastera,,2006,8070
Francisco Peraza,,1923,8000
Municipal El Val,,1947,8000
Pepico Amat,Eldense CD,1964,8000
Gerardo Salvador,,1971,8000
Viejo Nervion,Sevilla At,1974,8000
Nou Camp de Sa Pobla,,1977,8000
Municipal de San Miguel,,1986,8000
Iberoamericano 2010,,1992,8000
Ciudad de Puertollano,Calvo Sotelo,2010,8000
Lasesarre,Barakaldo,2001,7960
Santo Domingo,,2001,7870
Angel Carro,Lugo,1974,7840
Ruta de la Plata,,2002,7813
El Alcoraz,Huesca,1972,7638
Polideportivo Municipal,,1983,7500
Antonio Domi­nguez Alfonso,Marino CD,1992,7500
Nuevo Mirador,Algeciras,1999,7200
Ciudad Deportiva de Lanzarote,,1968,7000
Municipal de Marbella,Marbella,1975,7000
Pri­ncipe Felipe,Cacereno,1977,7000
Narci­s Sala,Sant Andreu,1970,6593
Alfonso Murube,Ceuta,1933,6500
Municipal Villanovense,,1992,6500
Estadi de la Feixa Llarga,,1999,6294
Nuevo Malecon,Torrelavega,1922,6007
Guadalquivir,,1923,6000
Pedro Escarti­n,Guadalajara,1967,6000
Vicente Garci­a,,1971,6000
La Albuera,,1977,6000
Alfredo Di Stefano,Castilla CF,2005,6000
La Fuensanta,,2011,6000
El Prado,,1944,6000
La Planilla,,1946,6000
Anduva,Mirandes,1950,6000
Alberto Fernandez,,1968,6000
Adolfo Suarez,,1976,6000
El Montecillo,,1977,6000
San Pablo,Ecija,1986,6000
Nou Municipal de Palamos,Palamos/Llagostera,1989,6000
Ciutat Esportiva Dani Jarque,,2001,6000
Virgen de las Nieves,Tenisca SD,2001,6000
O Couto,Ourense,1948,5659
La Magdalena,,1949,5500
La Arboleja,,1984,5500
Nuevo Roman Suarez Puerta,Aviles CF,1999,5500
Nuestra Seiñora de la Caridad,,1958,5500
Chamorro Marti­nez,,1970,5500
Polideportivo Municipal,,1976,5500
Ciudad Deportiva de Plasencia,,1982,5500
Los Corrales,,2013,5500
Salto del Caballo,Toledo,1973,5300
Ciudad de Ayamonte,,2007,5200
Santo Domingo,Alcorcon,1978,5100
Ciudad Deportiva del Villarreal CF,,2002,5100
Vicente Sanz,,1957,5000
Municipal de Lucena,,1972,5000
El Mauli­,,1981,5000
La Serratella,,2000,5000
Stadium Gal,Real Union,1926,5000
La Constitucion,,1944,5000
El Palmar,,1948,5000
Municipal de Tomelloso,,1948,5000
El Clariano,,1951,5000
Miramar,Luanco,1952,5000
Los Cuartos,,1953,5000
Pinilla,,1957,5000
Municipal de Deportes,,1966,5000
Escribano Castilla,,1970,5000
Nuevo Estadio,,1972,5000
Municipal Navalmoral de la Mata,,1972,5000
Nuevo Silvestre Carrillo,Mensajero CD,1977,5000
Camp Nou Municipal,Reus CD,1978,5000
Municipal de Montilla,Montilla FC,1981,5000
Mundial 82,,1984,5000
Nou Municipal,,1994,5000
La Bobila,,1995,5000
La Juventud,Xerez,2001,5000
Artunduaga,Basconia CD,2007,5000
Ciudad Deportiva Municipal,,2007,5000
Municipal de Alcazar ,,2007,5000
Baltar,,2012,5000
Orellana,,2003,5000
Gazitaguada,,2005,5000
Fernando Torres,,2011,5000
Municipal,,2003,5000
Ciudad Deportiva,,1999,5000
Manuel Calzado Galvan,,2020,5000
Santa Ana ,,2009,5000
Isidro Calderon,,2006,5000
El olivar,,2007,5000
La Condomina,UCAM,1924,4600
Area Deportiva de Puente Castro,Cult. Leonesa,1998,4600
Estadi Municipal de Can Misses,,1991,4500
Mati­as Prats,,1934,4500
Las Llanas,Sestao,1923,4367
El Mazo,Haro CD,2004,4300
Municipal de Badalona,Badalona,2017,4170
Hermanos Antuiña,Caudal,1951,4000
Nou Sardenya,Europa CD,1995,4000
El Rubial,,1913,4000
Estadio El Carmen Sariinena,,1960,4000
Merkatondoa,Izarra CD,1928,3500
Los Arcos,Orihuela,1945,3500
As Eiroas,,2001,3500
Cerro del Espino,Majadahonda,1995,3376
Guillermo Olagiue,,1967,3259
El Pilar,,1922,3000
Pepe Orti­z,,1995,3000
Pepe Gonicalvez,,1938,3000
Javier Sotomayor,Salamanca,1970,2400
Municipal de Ejea,,2010,2223
La Mina,,1916,2000
La Espiguera,,1917,2000
Municipal de Guijuelo,,1970,2000
Nuevo San Bartolome,,1982,2000
Vicente del Bosque,,2013,2000
La Hoya,,1981,2000
