Granada,Zaragoza,1,Granada,1972-1973,1ª,0,0
Barcelona,Dptivo. Coruña,1,Barcelona,1972-1973,1ª,3,1
At. Madrid,Valencia,1,At. Madrid,1972-1973,1ª,1,3
Las Palmas,Oviedo,1,Las Palmas,1972-1973,1ª,2,1
Sporting Gijon,Betis,1,Sporting Gijon,1972-1973,1ª,1,0
Castellon,Real Madrid,1,Castellon,1972-1973,1ª,2,3
Celta,Espanyol,1,Celta,1972-1973,1ª,1,1
Malaga (C.D.),Ath. Bilbao,1,Malaga (C.D.),1972-1973,1ª,0,0
Burgos,Real Sociedad,1,Burgos,1972-1973,1ª,1,0
Zaragoza,Burgos,2,Zaragoza,1972-1973,1ª,2,0
Dptivo. Coruña,Granada,2,Dptivo. Coruña,1972-1973,1ª,0,0
Valencia,Barcelona,2,Valencia,1972-1973,1ª,0,1
Oviedo,At. Madrid,2,Oviedo,1972-1973,1ª,0,2
Betis,Las Palmas,2,Betis,1972-1973,1ª,0,2
Real Madrid,Sporting Gijon,2,Real Madrid,1972-1973,1ª,1,0
Espanyol,Castellon,2,Espanyol,1972-1973,1ª,1,0
Ath. Bilbao,Celta,2,Ath. Bilbao,1972-1973,1ª,1,1
Real Sociedad,Malaga (C.D.),2,Real Sociedad,1972-1973,1ª,1,1
Zaragoza,Dptivo. Coruña,3,Zaragoza,1972-1973,1ª,5,0
Granada,Valencia,3,Granada,1972-1973,1ª,1,1
Barcelona,Oviedo,3,Barcelona,1972-1973,1ª,3,1
At. Madrid,Betis,3,At. Madrid,1972-1973,1ª,2,1
Las Palmas,Real Madrid,3,Las Palmas,1972-1973,1ª,1,1
Sporting Gijon,Espanyol,3,Sporting Gijon,1972-1973,1ª,0,0
Castellon,Ath. Bilbao,3,Castellon,1972-1973,1ª,1,4
Celta,Real Sociedad,3,Celta,1972-1973,1ª,0,1
Burgos,Malaga (C.D.),3,Burgos,1972-1973,1ª,2,2
Dptivo. Coruña,Burgos,4,Dptivo. Coruña,1972-1973,1ª,2,1
Valencia,Zaragoza,4,Valencia,1972-1973,1ª,0,0
Oviedo,Granada,4,Oviedo,1972-1973,1ª,3,0
Betis,Barcelona,4,Betis,1972-1973,1ª,0,2
Real Madrid,At. Madrid,4,Real Madrid,1972-1973,1ª,0,1
Espanyol,Las Palmas,4,Espanyol,1972-1973,1ª,4,0
Ath. Bilbao,Sporting Gijon,4,Ath. Bilbao,1972-1973,1ª,2,0
Real Sociedad,Castellon,4,Real Sociedad,1972-1973,1ª,0,0
Malaga (C.D.),Celta,4,Malaga (C.D.),1972-1973,1ª,1,0
Dptivo. Coruña,Valencia,5,Dptivo. Coruña,1972-1973,1ª,1,1
Zaragoza,Oviedo,5,Zaragoza,1972-1973,1ª,3,0
Granada,Betis,5,Granada,1972-1973,1ª,0,0
Barcelona,Real Madrid,5,Barcelona,1972-1973,1ª,1,0
At. Madrid,Espanyol,5,At. Madrid,1972-1973,1ª,0,0
Las Palmas,Ath. Bilbao,5,Las Palmas,1972-1973,1ª,1,0
Sporting Gijon,Real Sociedad,5,Sporting Gijon,1972-1973,1ª,3,0
Castellon,Malaga (C.D.),5,Castellon,1972-1973,1ª,1,0
Burgos,Celta,5,Burgos,1972-1973,1ª,0,0
Valencia,Burgos,6,Valencia,1972-1973,1ª,3,0
Oviedo,Dptivo. Coruña,6,Oviedo,1972-1973,1ª,0,0
Betis,Zaragoza,6,Betis,1972-1973,1ª,1,1
Real Madrid,Granada,6,Real Madrid,1972-1973,1ª,2,1
Espanyol,Barcelona,6,Espanyol,1972-1973,1ª,1,1
Ath. Bilbao,At. Madrid,6,Ath. Bilbao,1972-1973,1ª,1,0
Real Sociedad,Las Palmas,6,Real Sociedad,1972-1973,1ª,1,0
Malaga (C.D.),Sporting Gijon,6,Malaga (C.D.),1972-1973,1ª,1,0
Celta,Castellon,6,Celta,1972-1973,1ª,2,0
Valencia,Oviedo,7,Valencia,1972-1973,1ª,2,2
Dptivo. Coruña,Betis,7,Dptivo. Coruña,1972-1973,1ª,2,0
Zaragoza,Real Madrid,7,Zaragoza,1972-1973,1ª,0,0
Granada,Espanyol,7,Granada,1972-1973,1ª,2,2
Barcelona,Ath. Bilbao,7,Barcelona,1972-1973,1ª,1,0
At. Madrid,Real Sociedad,7,At. Madrid,1972-1973,1ª,2,1
Las Palmas,Malaga (C.D.),7,Las Palmas,1972-1973,1ª,1,3
Sporting Gijon,Celta,7,Sporting Gijon,1972-1973,1ª,3,1
Burgos,Castellon,7,Burgos,1972-1973,1ª,2,1
Oviedo,Burgos,8,Oviedo,1972-1973,1ª,1,0
Betis,Valencia,8,Betis,1972-1973,1ª,0,0
Real Madrid,Dptivo. Coruña,8,Real Madrid,1972-1973,1ª,0,0
Espanyol,Zaragoza,8,Espanyol,1972-1973,1ª,3,1
Ath. Bilbao,Granada,8,Ath. Bilbao,1972-1973,1ª,0,1
Real Sociedad,Barcelona,8,Real Sociedad,1972-1973,1ª,2,0
Malaga (C.D.),At. Madrid,8,Malaga (C.D.),1972-1973,1ª,0,1
Celta,Las Palmas,8,Celta,1972-1973,1ª,3,1
Castellon,Sporting Gijon,8,Castellon,1972-1973,1ª,1,0
Oviedo,Betis,9,Oviedo,1972-1973,1ª,0,0
Valencia,Real Madrid,9,Valencia,1972-1973,1ª,0,1
Dptivo. Coruña,Espanyol,9,Dptivo. Coruña,1972-1973,1ª,0,0
Zaragoza,Ath. Bilbao,9,Zaragoza,1972-1973,1ª,3,2
Granada,Real Sociedad,9,Granada,1972-1973,1ª,2,0
Barcelona,Malaga (C.D.),9,Barcelona,1972-1973,1ª,0,0
