Camp Nou,Barcelona
Santiago Bernabeu,Real Madrid
Metropolitano,At. Madrid
Benito Villamari­n,Betis
Mestalla,Valencia
San Mames,Ath. Bilbao
Ramon Sanchez Pizjuan,Sevilla
Anoeta,Real Sociedad
RCDE Stadium,Espanyol
Manuel Marti­nez Valero,Elche
La Romareda,Zaragoza
Riazor,Dptivo. Coruna
Gran Canaria,Univ. Las Palmas
Nueva Condomina,Murcia
Balaidos,Celta
Carlos Tartiere,Oviedo
La Rosaleda,Malaga (C.D.)
El Molinon,Sporting Gijon
Jose Rico Perez,Hercules
Jose Zorrilla,Valladolid
Ciudad de Valencia,Levante
Ramon de Carranza,Cadiz
Son Moix,Mallorca
Estadio de la Ceramica,Villarreal
Heliodoro Rodri­guez Lopez,Tenerife CD
Nuevo Los Carmenes,Granada
El Sardinero,Rac. Santander
Nuevo Arcangel,Cordoba
Nuevo Colombino,Rec. Huelva
Chapin,Xerez/Xerez FC
Mendizorroza,Alaves
El Sadar,Osasuna
Balear,Baleares CD
Carlos Belmonte,Albacete
Coliseum Alfonso Perez,Getafe
Las Gaunas,Logrones
Nuevo Vivero,Badajoz
Castalia,Castellon
Mini Estadi,Barcelona B
Cartagonova,Cartagena
Juegos Mediterraneos,Almeria
Estadio de Vallecas,Rayo Vallecano
Romano,Merida
Nou Estadi de Tarragona,Gimn. Tarragona
Camp d'Esports,Lleida
Reino de Leon,Cult. Leonesa
Municipal de Montilivi,Girona
San Lazaro,Compostela
La Victoria,Jaen
Butarque,Leganes
El Planti­o,Burgos CF
A Malata,Ferrol
Pasaron,Pontevedra
Nova Creu Alta,Sabadell
Francisco de la Hera,Extremadura
Oli­mpic de Terrassa,Terrassa
Linarejos,Linares
Municipal de Vilatenim,Figueres
Nuevo Los Pajaritos,Numancia
Jose del Cuvillo,Portuense
El Torali­n,Ponferradina
Ipurua,eibar
Francisco Artes Carrasco,Lorca
Luis Suiñer,Palencia
Pepico Amat,Eldense CD
Viejo Nervion,Sevilla At
Ciudad de Puertollano,Calvo Sotelo
Lasesarre,Barakaldo
Angel Carro,Lugo
El Alcoraz,Huesca
Antonio Domi­nguez Alfonso,Marino CD
Nuevo Mirador,Algeciras
Municipal de Marbella,Marbella
Pri­ncipe Felipe,Cacereno
Narci­s Sala,Sant Andreu
Alfonso Murube,Ceuta
Nuevo Malecon,Torrelavega
Pedro Escarti­n,Guadalajara
Alfredo Di Stefano,Castilla CF
Anduva,Mirandes
San Pablo,Ecija
Nou Municipal de Palamos,Palamos/Llagostera
Virgen de las Nieves,Tenisca SD
O Couto,Ourense
Nuevo Roman Suarez Puerta,Aviles CF
Salto del Caballo,Toledo
Santo Domingo,Alcorcon
Stadium Gal,Real Union
Miramar,Luanco
Nuevo Silvestre Carrillo,Mensajero CD
Camp Nou Municipal,Reus CD
Municipal de Montilla,Montilla FC
La Juventud,Xerez
Artunduaga,Basconia CD
La Condomina,UCAM
Area Deportiva de Puente Castro,Cult. Leonesa
Las Llanas,Sestao
El Mazo,Haro CD
Municipal de Badalona,Badalona
Hermanos Antuiña,Caudal
Nou Sardenya,Europa CD
Merkatondoa,Izarra CD
Los Arcos,Orihuela
Cerro del Espino,Majadahonda
Javier Sotomayor,Salamanca
